EpThisIter,EpisodesSoFar,entloss,TimestepsSoFar,EpRewMean,entropy,EpLenMean,TimeElapsed,ev_tdlam_before,surrgain,optimgain,meankl
21,16056,0.0,802800,-4.377165674666348,-3.766298,50.0,368.44522309303284,0.9806009102612734,0.028466411,0.028466411,0.009974201
20,16076,0.0,803800,-4.611342812171557,-3.765656,50.0,368.90873312950134,0.9360745698213577,0.040333636,0.040333636,0.010405315
21,16097,0.0,804850,-4.9261323396767205,-3.7661667,50.0,369.3702130317688,0.9538177363574505,0.03386315,0.03386315,0.010807419
20,16117,0.0,805850,-5.758021803803084,-3.7675154,50.0,369.828649520874,0.9261811524629593,0.03223804,0.03223804,0.010874495
21,16138,0.0,806900,-5.26669133852829,-3.7625737,50.0,370.28531646728516,0.9564531110227108,0.03567751,0.03567751,0.011409452
20,16158,0.0,807900,-4.637703532394117,-3.758543,50.0,370.73358273506165,0.968455970287323,0.049591076,0.049591076,0.010296249
21,16179,0.0,808950,-4.508743088218489,-3.7619307,50.0,371.1966359615326,0.9531396739184856,0.041225202,0.041225202,0.010076298
20,16199,0.0,809950,-5.007807142256022,-3.764589,50.0,371.6574857234955,0.9338739737868309,0.03594986,0.03594986,0.010287192
21,16220,0.0,811000,-5.185864145107128,-3.7628193,50.0,372.1091902256012,0.9661438837647438,0.042340964,0.042340964,0.01199742
20,16240,0.0,812000,-4.823873799389989,-3.761407,50.0,372.56924653053284,0.9357340112328529,0.12829268,0.12829268,0.009364953
21,16261,0.0,813050,-5.329133329445872,-3.761878,50.0,373.02272868156433,0.8893040418624878,0.057085134,0.057085134,0.01014439
20,16281,0.0,814050,-5.382056169548414,-3.7618775,50.0,373.47968101501465,0.9644484594464302,0.034019276,0.034019276,0.010045413
21,16302,0.0,815100,-4.680509686616487,-3.759529,50.0,373.94012355804443,0.966507475823164,0.05000119,0.05000119,0.009067358
20,16322,0.0,816100,-5.1542168117698255,-3.764534,50.0,374.41310119628906,0.9393291622400284,0.039289996,0.039289996,0.009725001
21,16343,0.0,817150,-5.192330669683187,-3.767525,50.0,374.87547278404236,0.8601129949092865,0.054478325,0.054478325,0.009417875
20,16363,0.0,818150,-5.070632765854773,-3.7659988,50.0,375.3309540748596,0.9347175657749176,0.04938481,0.04938481,0.009810716
21,16384,0.0,819200,-5.013444565862978,-3.7649858,50.0,375.7884166240692,0.9238395243883133,0.10907449,0.10907449,0.010570136
20,16404,0.0,820200,-4.806953126030072,-3.7722716,50.0,376.2554590702057,0.9765673708170652,0.030185197,0.030185197,0.010200748
20,16424,0.0,821200,-4.800130183393881,-3.7724628,50.0,376.71403336524963,0.9552100896835327,0.05742572,0.05742572,0.008980017
21,16445,0.0,822250,-5.004467756764241,-3.7737126,50.0,377.17117524147034,0.9563541449606419,0.05644093,0.05644093,0.0091892565
20,16465,0.0,823250,-5.2053366689192515,-3.771851,50.0,377.62457728385925,0.9670385792851448,0.041506834,0.041506834,0.00994431
21,16486,0.0,824300,-4.857909393617182,-3.7719097,50.0,378.07909536361694,0.9287058189511299,0.040044654,0.040044654,0.010309219
20,16506,0.0,825300,-4.620800552386636,-3.775476,50.0,378.5255882740021,0.9010771661996841,0.04250314,0.04250314,0.010766847
21,16527,0.0,826350,-4.6710548206587195,-3.7772517,50.0,378.9776964187622,0.9676932096481323,0.02372647,0.02372647,0.010459259
20,16547,0.0,827350,-4.9685750120326215,-3.7841733,50.0,379.4405326843262,0.9645759128034115,0.042991906,0.042991906,0.01003148
21,16568,0.0,828400,-4.530432792368939,-3.7854598,50.0,379.8887143135071,0.9380224831402302,0.033368498,0.033368498,0.010261324
20,16588,0.0,829400,-4.973760024769142,-3.78537,50.0,380.34319019317627,0.979796115309,0.04651948,0.04651948,0.009957717
21,16609,0.0,830450,-5.446120965483702,-3.7869344,50.0,380.79669404029846,0.9680622071027756,0.037843507,0.037843507,0.010819064
20,16629,0.0,831450,-4.988827844747613,-3.7894878,50.0,381.24905824661255,0.8922138810157776,0.050211705,0.050211705,0.011086443
21,16650,0.0,832500,-4.679107899766665,-3.7936628,50.0,381.70428490638733,0.9678624682128429,0.032189794,0.032189794,0.010648478
20,16670,0.0,833500,-4.668780058325771,-3.7962031,50.0,382.15662813186646,0.9582575708627701,0.030838823,0.030838823,0.009760597
